Path:	
C:\Users\kastriots\Google Drive\Measurement data\Plat_FacingAnt_11613.txt	

Owner:	
Robert Jones	

Description:	
	
-----------------------------------------------------------------	


X - Axis	Y - Axis
	
4150.00000000	-0.00196077
4160.00000000	-0.00132752
4170.00000000	0.00022125
4180.00000000	0.00075531
4190.00000000	0.00096131
4200.00000000	0.00054932
4210.00000000	-0.00033570
4220.00000000	-0.00048828
4230.00000000	-0.00005341
4240.00000000	0.00034333
4250.00000000	0.00109101
4260.00000000	0.00112153
4270.00000000	0.00067902
4280.00000000	0.00018311
4290.00000000	-0.00088501
4300.00000000	-0.00122834
4310.00000000	-0.00128938
4320.00000000	-0.00088501
4330.00000000	0.00033570
4340.00000000	0.00076294
4350.00000000	0.00135804
4360.00000000	0.00126649
4370.00000000	0.00065613
4380.00000000	0.00027466
4390.00000000	-0.00021362
4400.00000000	-0.00019836
4410.00000000	0.00012970
4420.00000000	0.00029755
4430.00000000	0.00046540
4440.00000000	0.00041962
4450.00000000	0.00033570
4460.00000000	0.00038147
4470.00000000	0.00066376
4480.00000000	0.00089264
4490.00000000	0.00121308
4500.00000000	0.00115968
4510.00000000	0.00067139
4520.00000000	0.00033570
4530.00000000	-0.00041199
4540.00000000	-0.00051117
4550.00000000	-0.00037384
4560.00000000	-0.00021362
4570.00000000	-0.00005341
4580.00000000	-0.00010681
4590.00000000	-0.00026703
4600.00000000	-0.00030518
4610.00000000	-0.00012207
4620.00000000	0.00009155
4630.00000000	0.00053406
4640.00000000	0.00063324
4650.00000000	0.00054169
4660.00000000	0.00041199
4670.00000000	0.00001526
4680.00000000	-0.00013733
4690.00000000	-0.00045014
4700.00000000	-0.00048065
4710.00000000	-0.00045777
4720.00000000	-0.00047302
4730.00000000	-0.00079346
4740.00000000	-0.00106812
4750.00000000	-0.00155640
4760.00000000	-0.00153352
4770.00000000	-0.00100709
4780.00000000	-0.00065613
4790.00000000	0.00027466
4800.00000000	0.00057221
4810.00000000	0.00110627
4820.00000000	0.00121308
4830.00000000	0.00115968
4840.00000000	0.00088501
4850.00000000	0.00006104
4860.00000000	-0.00023651
4870.00000000	-0.00050354
4880.00000000	-0.00038910
4890.00000000	0.00011444
4900.00000000	0.00025940
4910.00000000	0.00025940
4920.00000000	0.00008392
4930.00000000	-0.00038910
4940.00000000	-0.00053406
4950.00000000	-0.00064087
4960.00000000	-0.00058747
4970.00000000	-0.00041962
4980.00000000	-0.00032807
4990.00000000	-0.00013733
5000.00000000	-0.00005341
5010.00000000	0.00000000
5020.00000000	-0.00004578
5030.00000000	-0.00025177
5040.00000000	-0.00032044
5050.00000000	-0.00029755
5060.00000000	-0.00010681
5070.00000000	0.00057221
5080.00000000	0.00100709
5090.00000000	0.00189973
5100.00000000	0.00215913
5110.00000000	0.00238039
5120.00000000	0.00221254
5130.00000000	0.00140382
5140.00000000	0.00086213
5150.00000000	-0.00027466
5160.00000000	-0.00057221
5170.00000000	-0.00080109
5180.00000000	-0.00074005
5190.00000000	-0.00059510
5200.00000000	-0.00054169
5210.00000000	-0.00051117
5220.00000000	-0.00055695
5230.00000000	-0.00077820
5240.00000000	-0.00090027
5250.00000000	-0.00117493
5260.00000000	-0.00126649
5270.00000000	-0.00135041
5280.00000000	-0.00132752
5290.00000000	-0.00125886
5300.00000000	-0.00124360
5310.00000000	-0.00128938
5320.00000000	-0.00133515
